                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9753,                  3.991,                 2.3411,                0.00319,                      1,                0.02452,                0.00682,                 1.9118,                 4.3122,                 2.3625,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.0877,                 3.8345,                 2.2161,                0.00318,                      1,                0.04889,                0.01502,                 1.7254,                 4.2229,                 2.2541,             4.9845e-05,             4.9845e-05,             4.9845e-05
                      3,                 1.7388,                 3.6427,                 1.9383,                0.00318,                      1,                0.08124,                0.03049,                 1.4164,                 4.1098,                 1.9724,               8.28e-05,               8.28e-05,               8.28e-05
                      4,                 1.5701,                 3.6459,                  1.803,                0.00317,                      1,                0.18475,                0.09357,                 1.3308,                 3.8145,                 1.6967,             0.00011553,             0.00011553,             0.00011553
                      5,                 1.2922,                  3.302,                 1.5628,                0.00319,                      1,                0.54472,                0.31316,                 1.2524,                  3.694,                 1.5661,             0.00014805,             0.00014805,             0.00014805
                      6,                 1.1953,                 2.9873,                 1.5088,                0.00321,                      1,                0.73439,                0.36743,                 1.1681,                 3.6822,                 1.4661,             0.00018034,             0.00018034,             0.00018034
                      7,                 1.2445,                 2.7455,                 1.4542,                0.00321,                      1,                 0.7575,                0.41362,                 1.2064,                 3.5793,                  1.474,             0.00021242,             0.00021242,             0.00021242
                      8,                 1.2765,                 2.6257,                 1.4918,                0.00318,                      1,                 0.6953,                0.38087,                  1.529,                 3.5088,                   1.68,             0.00024427,             0.00024427,             0.00024427
                      9,                  1.115,                 2.1812,                 1.2764,                0.00577,                      1,                0.80417,                0.44918,                 1.4915,                 3.5534,                 1.7428,             0.00027591,             0.00027591,             0.00027591
                     10,                 1.1058,                 2.0722,                 1.3362,                0.03641,                      1,                0.74564,                0.46616,                 1.4867,                 3.5005,                 1.6752,             0.00030732,             0.00030732,             0.00030732
                     11,                 1.1071,                 2.1095,                 1.2585,                0.00318,                      1,                0.82198,                0.45884,                 1.4427,                 3.3595,                 1.5581,             0.00033852,             0.00033852,             0.00033852
                     12,                  1.144,                 2.0389,                 1.2948,                 0.0032,                      1,                0.85056,                0.45506,                  1.472,                 3.2112,                 1.4453,             0.00036949,             0.00036949,             0.00036949
                     13,                 1.1347,                 2.0445,                 1.2702,                0.00325,                      1,                 0.9375,                0.54022,                  1.337,                 3.3475,                 1.3653,             0.00040025,             0.00040025,             0.00040025
                     14,                0.99577,                 1.7948,                 1.2182,                0.00327,                      1,                  0.945,                0.51245,                 1.5238,                 3.5042,                 1.5438,             0.00043078,             0.00043078,             0.00043078
                     15,                 1.2176,                 1.9494,                 1.3144,                0.00323,                      1,                0.53951,                0.29029,                 1.7356,                 3.7874,                 1.8715,              0.0004611,              0.0004611,              0.0004611
                     16,                 1.0984,                  1.797,                 1.2812,                0.00282,                    0.9,                0.56453,                0.28846,                  2.047,                 4.1144,                 2.1764,             0.00049119,             0.00049119,             0.00049119
                     17,                 1.1533,                 1.8702,                  1.253,                 0.0028,                    0.9,                0.77078,                0.39362,                 1.9892,                 3.8003,                 1.9917,             0.00052106,             0.00052106,             0.00052106
                     18,                 1.0778,                 1.7419,                 1.1545,                0.00317,                      1,                  0.995,                  0.501,                 1.7342,                 3.4783,                 1.7345,             0.00055072,             0.00055072,             0.00055072
                     19,                 1.0219,                 1.6119,                 1.1428,                0.88218,                    0.5,                  0.995,                0.65276,                 1.3877,                  3.167,                 1.4299,             0.00058015,             0.00058015,             0.00058015
                     20,                0.90101,                 1.6008,                 1.0908,                0.98022,                    0.5,                0.94643,                0.65963,                 1.2606,                 2.9495,                 1.3617,             0.00060937,             0.00060937,             0.00060937
                     21,                0.92463,                 1.6258,                 1.2157,                0.98401,                    0.5,                0.94643,                 0.5999,                 1.3932,                 2.8398,                 1.4647,             0.00063836,             0.00063836,             0.00063836
                     22,                0.95771,                  1.627,                 1.1664,                0.84758,                    0.5,                  0.945,                0.56605,                 1.4723,                 2.7425,                 1.5168,             0.00066714,             0.00066714,             0.00066714
                     23,                 1.0188,                  1.862,                 1.2247,                0.85233,                    0.5,                0.93786,                0.58857,                  1.553,                 2.8684,                 1.5882,             0.00069569,             0.00069569,             0.00069569
                     24,                0.99173,                 1.4661,                 1.1459,                0.84664,                0.72641,                  0.995,                0.59075,                  1.474,                 2.7307,                 1.5487,             0.00072402,             0.00072402,             0.00072402
                     25,                0.96864,                 1.4562,                 1.0877,                0.80949,                    0.5,                0.97833,                0.67862,                 1.2584,                 2.6536,                 1.2896,             0.00075214,             0.00075214,             0.00075214
                     26,                 1.1046,                 1.4714,                  1.194,                0.72706,                    0.6,                0.76071,                0.47758,                 1.6386,                 3.0403,                 1.5996,             0.00078003,             0.00078003,             0.00078003
                     27,                 1.0264,                  1.423,                 1.1096,                 0.9407,                    0.5,                0.65952,                0.36996,                 2.0853,                 3.4448,                 2.0126,              0.0008077,              0.0008077,              0.0008077
